Rider Type,Season,Working Day,Hour,Avg Riders
Casual,Fall,Yes,9,19
Casual,Fall,Yes,10,23
Casual,Fall,Yes,11,30
Casual,Fall,Yes,12,34
Casual,Fall,Yes,13,36
Casual,Fall,Yes,14,38
Casual,Fall,Yes,15,40
Casual,Fall,Yes,16,41
Casual,Fall,Yes,17,44
Casual,Fall,Yes,18,32
Casual,Fall,Yes,19,23
Casual,Fall,Yes,20,17
Casual,Fall,Yes,21,15
Casual,Fall,Yes,22,13
Casual,Fall,Yes,23,9
Registered,Winter,Yes,0,16
Registered,Winter,Yes,1,7
Registered,Winter,Yes,2,4
Registered,Winter,Yes,3,2
Registered,Winter,Yes,4,2
Registered,Winter,Yes,5,13
Registered,Winter,Yes,6,58
Registered,Winter,Yes,7,169
Registered,Winter,Yes,8,338
Registered,Winter,Yes,9,179
Registered,Winter,Yes,10,74
Registered,Winter,Yes,11,81
Registered,Winter,Yes,12,106
Registered,Winter,Yes,13,108
Registered,Winter,Yes,14,92
Registered,Winter,Yes,15,99
Registered,Winter,Yes,16,149
Registered,Winter,Yes,17,299
Registered,Winter,Yes,18,285
Registered,Winter,Yes,19,192
Registered,Winter,Yes,20,133
Registered,Winter,Yes,21,98
Registered,Winter,Yes,22,70
Registered,Winter,Yes,23,41
Registered,Spring,Yes,0,32
Registered,Spring,Yes,1,14
Registered,Spring,Yes,2,7
Registered,Spring,Yes,3,4
Registered,Spring,Yes,4,4
Registered,Spring,Yes,5,23
Registered,Spring,Yes,6,100
Registered,Spring,Yes,7,291
Registered,Spring,Yes,8,475
Registered,Spring,Yes,9,221
Registered,Spring,Yes,10,106
Registered,Spring,Yes,11,128
Registered,Spring,Yes,12,171
Registered,Spring,Yes,13,165
Registered,Spring,Yes,14,142
Registered,Spring,Yes,15,160
Registered,Spring,Yes,16,264
Registered,Spring,Yes,17,517
Registered,Spring,Yes,18,488
Registered,Spring,Yes,19,342
Registered,Spring,Yes,20,241
Registered,Spring,Yes,21,177
Registered,Spring,Yes,22,133
Registered,Spring,Yes,23,81
Registered,Summer,Yes,0,37
Registered,Summer,Yes,1,16
Registered,Summer,Yes,2,8
Registered,Summer,Yes,3,5
Registered,Summer,Yes,4,6
Registered,Summer,Yes,5,29
Registered,Summer,Yes,6,125
Registered,Summer,Yes,7,348
Registered,Summer,Yes,8,503
Registered,Summer,Yes,9,226
Registered,Summer,Yes,10,113
Registered,Summer,Yes,11,133
Registered,Summer,Yes,12,176
Registered,Summer,Yes,13,171
Registered,Summer,Yes,14,152
Registered,Summer,Yes,15,172
Registered,Summer,Yes,16,283
Registered,Summer,Yes,17,561
Registered,Summer,Yes,18,547
Registered,Summer,Yes,19,386
Registered,Summer,Yes,20,279
Registered,Summer,Yes,21,205
Registered,Summer,Yes,22,152
Registered,Summer,Yes,23,100
Registered,Fall,Yes,0,33
Registered,Fall,Yes,1,14
Registered,Fall,Yes,2,7
Registered,Fall,Yes,3,4
Registered,Fall,Yes,4,6
Registered,Fall,Yes,5,28
Registered,Fall,Yes,6,109
Registered,Fall,Yes,7,307
Registered,Fall,Yes,8,515
Registered,Fall,Yes,9,247
Registered,Fall,Yes,10,120
Registered,Fall,Yes,11,138
Registered,Fall,Yes,12,183
Registered,Fall,Yes,13,176
Registered,Fall,Yes,14,156
Registered,Fall,Yes,15,183
Registered,Fall,Yes,16,284
Registered,Fall,Yes,17,514
Registered,Fall,Yes,18,466
Registered,Fall,Yes,19,315
Registered,Fall,Yes,20,222
Registered,Fall,Yes,21,163
Registered,Fall,Yes,22,121
Registered,Fall,Yes,23,81
Casual,Winter,No,0,6
Casual,Winter,No,1,6
Casual,Winter,No,2,5
Casual,Winter,No,3,3
Casual,Winter,No,4,1
Casual,Winter,No,5,1
Casual,Winter,No,6,1
Casual,Winter,No,7,3
Casual,Winter,No,8,6
Casual,Winter,No,9,15
Casual,Winter,No,10,29
Casual,Winter,No,11,46
Casual,Winter,No,12,59
Casual,Winter,No,13,69
Casual,Winter,No,14,78
Casual,Winter,No,15,81
Casual,Winter,No,16,72
Casual,Winter,No,17,56
Casual,Winter,No,18,35
Casual,Winter,No,19,21
Casual,Winter,No,20,15
Casual,Winter,No,21,12
Casual,Winter,No,22,9
Casual,Winter,No,23,6
Casual,Spring,No,0,19
Casual,Spring,No,1,15
Casual,Spring,No,2,12
Casual,Spring,No,3,8
Casual,Spring,No,4,3
Casual,Spring,No,5,3
Casual,Spring,No,6,6
Casual,Spring,No,7,12
Casual,Spring,No,8,27
Casual,Spring,No,9,61
Casual,Spring,No,10,107
Casual,Spring,No,11,146
Casual,Spring,No,12,169
Casual,Spring,No,13,191
Casual,Spring,No,14,187
Casual,Spring,No,15,187
Casual,Spring,No,16,178
Casual,Spring,No,17,167
Casual,Spring,No,18,126
Casual,Spring,No,19,102
Casual,Spring,No,20,72
Casual,Spring,No,21,51
Casual,Spring,No,22,40
Casual,Spring,No,23,28
Casual,Summer,No,0,30
Casual,Summer,No,1,20
Casual,Summer,No,2,17
Casual,Summer,No,3,10
Casual,Summer,No,4,4
Casual,Summer,No,5,3
Casual,Summer,No,6,6
Casual,Summer,No,7,12
Casual,Summer,No,8,33
Casual,Summer,No,9,70
Casual,Summer,No,10,115
Casual,Summer,No,11,150
Casual,Summer,No,12,170
Casual,Summer,No,13,183
Casual,Summer,No,14,177
Casual,Summer,No,15,178
Casual,Summer,No,16,166
Casual,Summer,No,17,155
Casual,Summer,No,18,129
Casual,Summer,No,19,110
Casual,Summer,No,20,85
Casual,Summer,No,21,67
Casual,Summer,No,22,51
Casual,Summer,No,23,33
Casual,Fall,No,0,13
Casual,Fall,No,1,12
Casual,Fall,No,2,8
Casual,Fall,No,3,5
Casual,Fall,No,4,2
Casual,Fall,No,5,1
Casual,Fall,No,6,3
Casual,Fall,No,7,7
Casual,Fall,No,8,16
Casual,Fall,No,9,37
Casual,Fall,No,10,69
Casual,Fall,No,11,95
Casual,Fall,No,12,121
Casual,Fall,No,13,127
Casual,Fall,No,14,138
Casual,Fall,No,15,124
Casual,Fall,No,16,119
Casual,Fall,No,17,87
Casual,Fall,No,18,59
Casual,Fall,No,19,38
Casual,Fall,No,20,28
Casual,Fall,No,21,23
Casual,Fall,No,22,19
Casual,Fall,No,23,15
Registered,Winter,No,0,43
Registered,Winter,No,1,36
Registered,Winter,No,2,27
Registered,Winter,No,3,14
Registered,Winter,No,4,4
Registered,Winter,No,5,3
Registered,Winter,No,6,5
Registered,Winter,No,7,15
Registered,Winter,No,8,45
Registered,Winter,No,9,66
Registered,Winter,No,10,107
Registered,Winter,No,11,131
Registered,Winter,No,12,161
Registered,Winter,No,13,168
Registered,Winter,No,14,159
Registered,Winter,No,15,162
Registered,Winter,No,16,156
Registered,Winter,No,17,142
Registered,Winter,No,18,124
Registered,Winter,No,19,94
Registered,Winter,No,20,71
Registered,Winter,No,21,60
Registered,Winter,No,22,55
Registered,Winter,No,23,39
Registered,Spring,No,0,78
Registered,Spring,No,1,59
Registered,Spring,No,2,42
Registered,Spring,No,3,18
Registered,Spring,No,4,7
Registered,Spring,No,5,9
Registered,Spring,No,6,24
Registered,Spring,No,7,50
Registered,Spring,No,8,111
Registered,Spring,No,9,150
Registered,Spring,No,10,194
Registered,Spring,No,11,237
Registered,Spring,No,12,261
Registered,Spring,No,13,256
Registered,Spring,No,14,244
Registered,Spring,No,15,245
Registered,Spring,No,16,256
Registered,Spring,No,17,257
Registered,Spring,No,18,244
Registered,Spring,No,19,212
Registered,Spring,No,20,160
Registered,Spring,No,21,125
Registered,Spring,No,22,107
Registered,Spring,No,23,81
Registered,Summer,No,0,103
Registered,Summer,No,1,74
Registered,Summer,No,2,57
Registered,Summer,No,3,26
Registered,Summer,No,4,7
Registered,Summer,No,5,10
Registered,Summer,No,6,17
Registered,Summer,No,7,39
Registered,Summer,No,8,95
Registered,Summer,No,9,159
Registered,Summer,No,10,225
Registered,Summer,No,11,251
Registered,Summer,No,12,288
Registered,Summer,No,13,274
Registered,Summer,No,14,260
Registered,Summer,No,15,251
Registered,Summer,No,16,249
Registered,Summer,No,17,246
Registered,Summer,No,18,234
Registered,Summer,No,19,214
Registered,Summer,No,20,171
Registered,Summer,No,21,148
Registered,Summer,No,22,120
Registered,Summer,No,23,87
Registered,Fall,No,0,84
Registered,Fall,No,1,66
Registered,Fall,No,2,45
Registered,Fall,No,3,19
Registered,Fall,No,4,6
Registered,Fall,No,5,8
Registered,Fall,No,6,18
Registered,Fall,No,7,49
Registered,Fall,No,8,115
Registered,Fall,No,9,153
Registered,Fall,No,10,207
Registered,Fall,No,11,244
Registered,Fall,No,12,285
Registered,Fall,No,13,282
Registered,Fall,No,14,271
Registered,Fall,No,15,268
Registered,Fall,No,16,273
Registered,Fall,No,17,248
Registered,Fall,No,18,219
Registered,Fall,No,19,180
Registered,Fall,No,20,134
Registered,Fall,No,21,108
Registered,Fall,No,22,92
Registered,Fall,No,23,73
